Property ID,MLS ID,Address,City,State,ZIP,Price,Beds,Baths,SqFt,Type,Year,Status,Agent,Phone,Broker
"ZPID11757951","MLS151566","2006 Maple Ave","Orlando","FL","32952",273000,3,1,1764,"Condo",1995,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID34710228","MLS126567","8600 Maple Ave","Orlando","FL","33684",351000,3,3.5,1557,"Condo",1999,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID98948114","MLS613775","4233 Pine St","Orlando","FL","33372",434000,3,2,1914,"Single Family",1988,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID96400548","MLS623409","5408 Main St","Orlando","FL","32886",404000,5,3,2346,"Single Family",1990,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID44067654","MLS687070","8482 Pine St","Orlando","FL","33266",471000,2,1.5,1838,"Multi-Family",2018,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID34289344","MLS886532","4812 Maple Ave","Orlando","FL","32749",179000,2,3.5,1185,"Multi-Family",1981,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID90759777","MLS33678","2802 Lake View Blvd","Orlando","FL","33227",366000,2,3.5,1370,"Single Family",1980,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID447861","MLS198226","8721 Palm Dr","Orlando","FL","33470",833000,5,2.5,3006,"Multi-Family",1989,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID48560274","MLS385157","2218 Lake View Blvd","Orlando","FL","32883",283000,2,1.5,1866,"Townhouse",1999,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID58431679","MLS382978","6279 Oak Ave","Orlando","FL","33697",369000,2,2.5,1528,"Townhouse",2001,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID74723779","MLS741359","7436 Palm Dr","Orlando","FL","33466",438000,5,3,1959,"Single Family",1998,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID80460378","MLS576432","401 Maple Ave","Orlando","FL","32909",766000,2,1,3320,"Townhouse",2012,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID13171004","MLS413098","4277 Lake View Blvd","Orlando","FL","33223",454000,4,1,2620,"Multi-Family",1988,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID35720963","MLS760769","3327 Maple Ave","Orlando","FL","33273",523000,5,2,3177,"Condo",2001,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID8022022","MLS716799","5946 Main St","Orlando","FL","33051",753000,5,3.5,2771,"Townhouse",1990,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID24902634","MLS794900","8108 Main St","Orlando","FL","33389",538000,5,2,3018,"Condo",1986,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID99866919","MLS690930","2113 Sunset Way","Orlando","FL","33298",672000,4,1,2632,"Condo",2010,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID10084272","MLS314374","5671 Oak Ave","Orlando","FL","33522",207000,4,1,1066,"Single Family",1982,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID27806863","MLS896703","5590 Main St","Orlando","FL","32786",431000,5,1,1444,"Multi-Family",2000,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID33349142","MLS591748","3375 Main St","Orlando","FL","33507",190000,2,1.5,1010,"Single Family",2009,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID96483404","MLS93586","6975 Pine St","Orlando","FL","33431",716000,5,2,3284,"Condo",2013,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID68265433","MLS905927","9718 Palm Dr","Orlando","FL","33381",820000,2,1,3189,"Townhouse",2014,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID89308323","MLS455885","8264 Oak Ave","Orlando","FL","33668",739000,5,2.5,3017,"Condo",1986,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID51332745","MLS639672","9403 Beach Rd","Orlando","FL","33348",393000,4,1,2002,"Condo",2006,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID8473678","MLS546467","6173 Beach Rd","Orlando","FL","32764",729000,2,1,3264,"Multi-Family",2016,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
